year,location,Soil,cultivar,sowing date,sowing configuration,esw,gsr,nheat,nheat2,Maturity Date,yield,nfrost,multiplier,frost yield,crop,crop price
1957,"Ambania, WA",Deep Sandy Soil,1,121,,30.278,316,2,,303,1886.2,0,1,1886.249,Wheat,250
1958,"Ambania, WA",Deep Sandy Soil,1,121,,47.188,473.9,0,,304,4153.5,0,1,4153.482,Wheat,250
1959,"Ambania, WA",Deep Sandy Soil,1,121,,36.101,273.4,0,,296,2779.8,0,1,2779.833,Wheat,250
1960,"Ambania, WA",Deep Sandy Soil,1,122,,36.43,321.3,0,,299,2732.4,0,1,2732.443,Wheat,250
1961,"Ambania, WA",Deep Sandy Soil,1,121,,42.668,301.4,4,,300,1936.2,0,1,1936.206,Wheat,250
1962,"Ambania, WA",Deep Sandy Soil,1,121,,45.58,386.8,0,,307,1489.2,0,1,1489.171,Wheat,250
1963,"Ambania, WA",Deep Sandy Soil,1,121,,61.809,530.3,2,,293,1078.5,0,1,1078.467,Wheat,250
1964,"Ambania, WA",Deep Sandy Soil,1,122,,47.855,458.3,3,,323,1589.9,0,1,1589.925,Wheat,250
1965,"Ambania, WA",Deep Sandy Soil,1,121,,70.785,413.7,1,,298,2926.1,0,1,2926.091,Wheat,250
1966,"Ambania, WA",Deep Sandy Soil,1,121,,39.51,228.4,0,,300,2949.9,0,1,2949.86,Wheat,250
1967,"Ambania, WA",Deep Sandy Soil,1,121,,29.576,263.9,3,,303,2301.7,0,1,2301.728,Wheat,250
1968,"Ambania, WA",Deep Sandy Soil,1,122,,46.657,368.3,0,,303,3324.9,0,1,3324.903,Wheat,250
1969,"Ambania, WA",Deep Sandy Soil,1,121,,27.351,180.8,3,,295,1129.2,0,1,1129.235,Wheat,250
1970,"Ambania, WA",Deep Sandy Soil,1,121,,33.43,269.2,0,,296,2863.5,0,1,2863.477,Wheat,250
1971,"Ambania, WA",Deep Sandy Soil,1,121,,66.514,264.3,1,,303,3090,0,1,3089.959,Wheat,250
1972,"Ambania, WA",Deep Sandy Soil,1,122,,43.554,360.3,1,,304,3351.5,0,1,3351.541,Wheat,250
1973,"Ambania, WA",Deep Sandy Soil,1,121,,48.083,325.7,0,,300,3667.6,0,1,3667.635,Wheat,250
1974,"Ambania, WA",Deep Sandy Soil,1,121,,57.622,403.5,0,,297,1948,0,1,1948.03,Wheat,250
1975,"Ambania, WA",Deep Sandy Soil,1,121,,54.967,326.3,0,,299,2872.3,0,1,2872.304,Wheat,250
1976,"Ambania, WA",Deep Sandy Soil,1,122,,29.872,151.1,1,,300,1503,0,1,1503.005,Wheat,250
1977,"Ambania, WA",Deep Sandy Soil,1,121,,29.069,150.2,1,,295,1334,0,1,1334.01,Wheat,250
1978,"Ambania, WA",Deep Sandy Soil,1,121,,30.312,305,0,,303,2518.2,0,1,2518.176,Wheat,250
1979,"Ambania, WA",Deep Sandy Soil,1,121,,27.9,164.6,1,,303,1499.7,0,1,1499.736,Wheat,250
1980,"Ambania, WA",Deep Sandy Soil,1,122,,29.627,273.9,0,,300,2299.2,0,1,2299.233,Wheat,250
1981,"Ambania, WA",Deep Sandy Soil,1,121,,34.424,379.2,1,,300,2175.2,0,1,2175.242,Wheat,250
1982,"Ambania, WA",Deep Sandy Soil,1,121,,59.09,310.8,0,,295,3284.7,0,1,3284.739,Wheat,250
1983,"Ambania, WA",Deep Sandy Soil,1,121,,43.523,348.6,1,,299,3678.4,0,1,3678.425,Wheat,250
1984,"Ambania, WA",Deep Sandy Soil,1,122,,44.14,312.5,0,,301,2371.1,0,1,2371.136,Wheat,250
1985,"Ambania, WA",Deep Sandy Soil,1,121,,31.765,223.4,1,,299,3067.5,0,1,3067.514,Wheat,250
1986,"Ambania, WA",Deep Sandy Soil,1,121,,42.477,412.1,1,,307,2682.1,0,1,2682.13,Wheat,250
1987,"Ambania, WA",Deep Sandy Soil,1,121,,35.104,199,2,,289,2379.9,0,1,2379.861,Wheat,250
1988,"Ambania, WA",Deep Sandy Soil,1,122,,30.501,345,1,,296,2754.7,0,1,2754.67,Wheat,250
1989,"Ambania, WA",Deep Sandy Soil,1,121,,34.808,235,0,,304,1479.3,0,1,1479.304,Wheat,250
1990,"Ambania, WA",Deep Sandy Soil,1,121,,29.104,275.6,1,,306,2387.6,0,1,2387.594,Wheat,250
1991,"Ambania, WA",Deep Sandy Soil,1,121,,29.487,277.6,1,,299,2477.3,0,1,2477.335,Wheat,250
1992,"Ambania, WA",Deep Sandy Soil,1,122,,45.837,291,0,,298,5615.5,0,1,5615.503,Wheat,250
